P0_id',P1_a_Idade',P1_a_1_Faixa_idade',P1_b_Genero',P1_c_Cor/raca/etnia',P1_d_PCD',P1_e_experiencia_profissional_prejudicada',P1_e_1_Não_acredito_que_minha_experiência_profissional_seja_afetada',P1_e_2_Experiencia_prejudicada_devido_a_minha_Cor_Raça_Etnia',P1_e_3_Experiencia_prejudicada_devido_a_minha_identidade_de_gênero',P1_e_4_Experiencia_prejudicada_devido_ao_fato_de_ser_PCD',P1_f_aspectos_prejudicados',P1_f_1_Quantidade_de_oportunidades_de_emprego/vagas_recebidas',P1_f_2_Senioridade_das_vagas_recebidas_em_relação_à_sua_experiência',P1_f_3_Aprovação_em_processos_seletivos/entrevistas',P1_f_4_Oportunidades_de_progressão_de_carreira',P1_f_5_Velocidade_de_progressão_de_carreira',P1_f_6_Nível_de_cobrança_no_trabalho/Stress_no_trabalho',P1_f_7_Atenção_dada_diante_das_minhas_opiniões_e_ideias',"P1_f_8_Relação_com_outros_membros_da_empresa,_em_momentos_de_trabalho'","P1_f_9_Relação_com_outros_membros_da_empresa,_em_momentos_de_integração_e_outros_momentos_fora_do_trabalho'",P1_g_vive_no_brasil',P1_i_Estado_onde_mora',P1_i_1_uf_onde_mora',P1_i_2_Regiao_onde_mora',P1_j_Mudou_de_Estado?',P1_k_Regiao_de_origem',P1_l_Nivel_de_Ensino',P1_m_Área_de_Formação'
01zusm1faol2k2601zlthh05cj7iqyit,25,25-29,Masculino,Preta,Sim,"Sim, acredito que a minha a experiência profissional seja afetada devido a minha Cor/Raça/Etnia, Sim, acredito que minha experiência profissional seja afetada devido ao fato de ser PCD",0.0,1.0,0.0,1.0,"Quantidade de oportunidades de emprego/vagas recebidas, Aprovação em processos seletivos/entrevistas, Nível de cobrança no trabalho / Stress no trabalho, Relação com outros membros da empresa, em momentos de trabalho",1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1,Sergipe (SE),SE,Nordeste,1.0,,Estudante de Graduação,Computação / Engenharia de Software / Sistemas de Informação/ TI
02cv39tv75nm2z9zhcv02cv379703hvs,46,45-49,Feminino,Parda,Não,"Sim, acredito que a minha a experiência profissional seja afetada devido a minha Cor/Raça/Etnia",0.0,1.0,0.0,0.0,"Velocidade de progressão de carreira, Nível de cobrança no trabalho / Stress no trabalho, Oportunidades de progressão de carreira, Quantidade de oportunidades de emprego/vagas recebidas, Relação com outros membros da empresa, em momentos de trabalho, Relação com outros membros da empresa, em momentos de integração e outros momentos fora do trabalho",1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1,Pernambuco (PE),PE,Nordeste,1.0,,Pós-graduação,Computação / Engenharia de Software / Sistemas de Informação/ TI
02yuxvtb6698rqwq8w02yuza594l7cut,32,30-34,Feminino,Preta,Não,"Sim, acredito que a minha a experiência profissional seja afetada devido a minha Cor/Raça/Etnia",0.0,1.0,0.0,0.0,"Velocidade de progressão de carreira, Aprovação em processos seletivos/entrevistas",0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1,Rio Grande do Sul (RS),RS,Sul,1.0,,Pós-graduação,Economia/ Administração / Contabilidade / Finanças/ Negócios
03hoy11ga4jko92xixsfb03hogk1wpa8,39,35-39,Masculino,Branca,Não,,,,,,,,,,,,,,,,1,São Paulo (SP),SP,Sudeste,1.0,,Graduação/Bacharelado,Computação / Engenharia de Software / Sistemas de Informação/ TI
03s7lpmvw0hjtzjgxl5ys03s7lpmbwwg,36,35-39,Masculino,Branca,Não,,,,,,,,,,,,,,,,1,Distrito Federal (DF),DF,Centro-oeste,0.0,Goiás (GO),Pós-graduação,Computação / Engenharia de Software / Sistemas de Informação/ TI
03zphd4wn92u78t7c03zph7kmu1pu8nw,35,35-39,Feminino,Branca,Não,Não acredito que minha experiência profissional seja afetada devido a esses fatores,1.0,0.0,0.0,0.0,,,,,,,,,,,1,Minas Gerais (MG),MG,Sudeste,1.0,,Mestrado,Computação / Engenharia de Software / Sistemas de Informação/ TI
04b8mbh28y4r0z04b8f42bs4j4ma44pl,29,25-29,Feminino,Branca,Não,"Sim, acredito que a minha a experiência profissional seja afetada devido a minha identidade de gênero",0.0,0.0,1.0,0.0,"Velocidade de progressão de carreira, Senioridade das vagas recebidas em relação à sua experiência, Nível de cobrança no trabalho / Stress no trabalho, Atenção dada pelas pessoas diante das minhas opiniões e ideias, Oportunidades de progressão de carreira",0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1,Rio de Janeiro (RJ),RJ,Sudeste,1.0,,Graduação/Bacharelado,Estatística/ Matemática / Matemática Computacional/ Ciências Atuariais
04ellbzcl7lj3va9n1yx04eleu3mlvml,29,25-29,Feminino,Prefiro não informar,Não,"Sim, acredito que a minha a experiência profissional seja afetada devido a minha identidade de gênero",0.0,0.0,1.0,0.0,"Senioridade das vagas recebidas em relação à sua experiência, Aprovação em processos seletivos/entrevistas, Oportunidades de progressão de carreira, Velocidade de progressão de carreira, Nível de cobrança no trabalho / Stress no trabalho, Atenção dada pelas pessoas diante das minhas opiniões e ideias, Relação com outros membros da empresa, em momentos de trabalho",0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1,Minas Gerais (MG),MG,Sudeste,0.0,Rio de Janeiro (RJ),Mestrado,Outra opção
04mb6m64f1b9566fnjwz04mb6m6bmelv,27,25-29,Masculino,Parda,Não,"Sim, acredito que a minha a experiência profissional seja afetada devido a minha Cor/Raça/Etnia",0.0,1.0,0.0,0.0,Aprovação em processos seletivos/entrevistas,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1,Paraná (PR),PR,Sul,1.0,,Graduação/Bacharelado,Computação / Engenharia de Software / Sistemas de Informação/ TI
04oft971jvyonsl456b704oft97ssj7l,31,30-34,Masculino,Branca,Não,,,,,,,,,,,,,,,,1,Rio de Janeiro (RJ),RJ,Sudeste,1.0,,Pós-graduação,Economia/ Administração / Contabilidade / Finanças/ Negócios
04qj1aoh18cgbwi04qj1aohkr325qe6z,35,35-39,Masculino,Parda,Não,Não acredito que minha experiência profissional seja afetada devido a esses fatores,1.0,0.0,0.0,0.0,,,,,,,,,,,1,Paraíba (PB),PB,Nordeste,1.0,,Mestrado,Computação / Engenharia de Software / Sistemas de Informação/ TI
04qmbrvl35x33l4prch04qmbr7a5ee5j,35,35-39,Masculino,Branca,Não,,,,,,,,,,,,,,,,1,São Paulo (SP),SP,Sudeste,1.0,,Graduação/Bacharelado,Economia/ Administração / Contabilidade / Finanças/ Negócios
04zjy2mj5qhb4d4uv04zjw3u7cxv87x7,29,25-29,Masculino,Branca,Não,,,,,,,,,,,,,,,,1,Paraná (PR),PR,Sul,0.0,Rio de Janeiro (RJ),Graduação/Bacharelado,Outras Engenharias
05csrlllrg5xhyryv7i305csrl8hfybu,44,40-44,Feminino,Branca,Não,"Sim, acredito que a minha a experiência profissional seja afetada devido a minha identidade de gênero",0.0,0.0,1.0,0.0,"Senioridade das vagas recebidas em relação à sua experiência, Aprovação em processos seletivos/entrevistas, Oportunidades de progressão de carreira, Nível de cobrança no trabalho / Stress no trabalho, Relação com outros membros da empresa, em momentos de integração e outros momentos fora do trabalho, Relação com outros membros da empresa, em momentos de trabalho",0.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1,Minas Gerais (MG),MG,Sudeste,1.0,,Doutorado ou Phd,Economia/ Administração / Contabilidade / Finanças/ Negócios
05edmndszxd75nu8o05edmnbiuloulj9,25,25-29,Feminino,Branca,Não,"Sim, acredito que a minha a experiência profissional seja afetada devido a minha identidade de gênero",0.0,0.0,1.0,0.0,"Quantidade de oportunidades de emprego/vagas recebidas, Senioridade das vagas recebidas em relação à sua experiência, Aprovação em processos seletivos/entrevistas, Oportunidades de progressão de carreira, Velocidade de progressão de carreira, Atenção dada pelas pessoas diante das minhas opiniões e ideias, Relação com outros membros da empresa, em momentos de trabalho, Relação com outros membros da empresa, em momentos de integração e outros momentos fora do trabalho",1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1,São Paulo (SP),SP,Sudeste,1.0,,Graduação/Bacharelado,Computação / Engenharia de Software / Sistemas de Informação/ TI
05na8bynsxjppjlrgsfb405na83mpw9f,36,35-39,Masculino,Branca,Não,,,,,,,,,,,,,,,,1,Acre (AC),,,1.0,,Graduação/Bacharelado,Ciências Biológicas/ Farmácia/ Medicina/ Área da Saúde
06bekvb2fzxi6n0czi06bekvydrj06mi,36,35-39,Feminino,Parda,Não,"Sim, acredito que a minha a experiência profissional seja afetada devido a minha identidade de gênero",0.0,0.0,1.0,0.0,"Quantidade de oportunidades de emprego/vagas recebidas, Oportunidades de progressão de carreira, Atenção dada pelas pessoas diante das minhas opiniões e ideias",1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1,Minas Gerais (MG),MG,Sudeste,1.0,,Pós-graduação,Estatística/ Matemática / Matemática Computacional/ Ciências Atuariais
06ytc58mw53h90izzo306ytcpdc16w70,46,45-49,Masculino,Branca,Não,,,,,,,,,,,,,,,,1,Santa Catarina (SC),SC,Sul,1.0,,Graduação/Bacharelado,Computação / Engenharia de Software / Sistemas de Informação/ TI
06zhqgd6dr4xjy06zhqg21con02zwy42,33,30-34,Feminino,Parda,Não,"Sim, acredito que a minha a experiência profissional seja afetada devido a minha identidade de gênero",0.0,0.0,1.0,0.0,Aprovação em processos seletivos/entrevistas,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1,São Paulo (SP),SP,Sudeste,0.0,Rio de Janeiro (RJ),Mestrado,Computação / Engenharia de Software / Sistemas de Informação/ TI
076sddptnza0htgkwxmr1jr076sddptb,30,30-34,Masculino,Branca,Não,,,,,,,,,,,,,,,,1,São Paulo (SP),SP,Sudeste,0.0,Minas Gerais (MG),Mestrado,Economia/ Administração / Contabilidade / Finanças/ Negócios
07ei3nr4jibmbslmgzup07ei3n8u13ka,32,30-34,Masculino,Parda,Não,Não acredito que minha experiência profissional seja afetada devido a esses fatores,1.0,0.0,0.0,0.0,,,,,,,,,,,1,São Paulo (SP),SP,Sudeste,1.0,,Não tenho graduação formal,
07podb88144utvmy9lk0x07podb8k8nl,38,35-39,Masculino,Preta,Não,Não acredito que minha experiência profissional seja afetada devido a esses fatores,1.0,0.0,0.0,0.0,,,,,,,,,,,1,São Paulo (SP),SP,Sudeste,1.0,,Não tenho graduação formal,
07vxvpqgtstbdqapyq07vo5p9yky8rqh,36,35-39,Masculino,Parda,Não,Não acredito que minha experiência profissional seja afetada devido a esses fatores,1.0,0.0,0.0,0.0,,,,,,,,,,,1,São Paulo (SP),SP,Sudeste,0.0,Nasci/me formei fora do Brasil,Pós-graduação,Economia/ Administração / Contabilidade / Finanças/ Negócios
083f331tparwm4083fxbusb0cps0rmwa,53,50-54,Masculino,Branca,Não,,,,,,,,,,,,,,,,1,Rio Grande do Sul (RS),RS,Sul,1.0,,Pós-graduação,Ciências Biológicas/ Farmácia/ Medicina/ Área da Saúde
08f7gp5stfs0txz08fn357e56e1co6sj,23,22-24,Masculino,Amarela,Prefiro não informar,Não acredito que minha experiência profissional seja afetada devido a esses fatores,1.0,0.0,0.0,0.0,,,,,,,,,,,1,São Paulo (SP),SP,Sudeste,1.0,,Estudante de Graduação,Outras Engenharias
091jp2ibksf49d1cgtz0091jp2bpsxzx,31,30-34,Masculino,Branca,Não,,,,,,,,,,,,,,,,1,São Paulo (SP),SP,Sudeste,1.0,,Pós-graduação,Computação / Engenharia de Software / Sistemas de Informação/ TI
09esdc97ebk0609es03a7nf83pw1owqg,33,30-34,Feminino,Branca,Não,,,,,,,,,,,,,,,,1,Bahia (BA),BA,Nordeste,0.0,Rio de Janeiro (RJ),Graduação/Bacharelado,Estatística/ Matemática / Matemática Computacional/ Ciências Atuariais
0aadbbqu8p2hf3a0aadbshkx5p9ty80m,36,35-39,Masculino,Branca,Não,,,,,,,,,,,,,,,,1,Santa Catarina (SC),SC,Sul,0.0,Rio Grande do Sul (RS),Mestrado,Outras Engenharias
0an4fvp64oeblyt70k00an4fvtn9vcle,29,25-29,Masculino,Branca,Não,,,,,,,,,,,,,,,,1,São Paulo (SP),SP,Sudeste,1.0,,Pós-graduação,Outras Engenharias
0autzixgz8xh4s7nwdw70autzmjayn79,38,35-39,Masculino,Branca,Não,,,,,,,,,,,,,,,,1,Paraná (PR),PR,Sul,1.0,,Graduação/Bacharelado,Economia/ Administração / Contabilidade / Finanças/ Negócios
0ayla3c460hpsv520ayla3i1xyyhg350,23,22-24,Masculino,Branca,Não,,,,,,,,,,,,,,,,1,Rio Grande do Sul (RS),RS,Sul,1.0,,Graduação/Bacharelado,Computação / Engenharia de Software / Sistemas de Informação/ TI
0azf0jf1ydfqkp0azfxtfwkz1ph9k98y,27,25-29,Masculino,Branca,Não,,,,,,,,,,,,,,,,1,Pará (PA),PA,Norte,1.0,,Mestrado,Química / Física
0b3av6hp5sh4tl79rh0b3avpntmyuqiu,26,25-29,Masculino,Branca,Não,,,,,,,,,,,,,,,,1,São Paulo (SP),SP,Sudeste,0.0,Minas Gerais (MG),Mestrado,Estatística/ Matemática / Matemática Computacional/ Ciências Atuariais
0b8rbnxgqxk8fio2z4k0b8syvfnu6uyz,30,30-34,Masculino,Parda,Não,Não acredito que minha experiência profissional seja afetada devido a esses fatores,1.0,0.0,0.0,0.0,,,,,,,,,,,1,Rio de Janeiro (RJ),RJ,Sudeste,1.0,,Pós-graduação,Outras Engenharias
0b9sb2w74o4h0f42j0b9sbk83r3d01j0,26,25-29,Feminino,Branca,Não,"Sim, acredito que a minha a experiência profissional seja afetada devido a minha identidade de gênero",0.0,0.0,1.0,0.0,Atenção dada pelas pessoas diante das minhas opiniões e ideias,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1,Paraná (PR),PR,Sul,1.0,,Estudante de Graduação,Computação / Engenharia de Software / Sistemas de Informação/ TI
0baz3khrxi0sei0bazgztvrrugudi1wd,50,50-54,Feminino,Parda,Não,"Sim, acredito que a minha a experiência profissional seja afetada devido a minha identidade de gênero",0.0,0.0,1.0,0.0,"Quantidade de oportunidades de emprego/vagas recebidas, Oportunidades de progressão de carreira, Velocidade de progressão de carreira",1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1,São Paulo (SP),SP,Sudeste,0.0,Pará (PA),Mestrado,Química / Física
0bb3tmiavc8odqz33eojlr0bb3to0mtu,23,22-24,Feminino,Branca,Não,"Sim, acredito que a minha a experiência profissional seja afetada devido a minha identidade de gênero",0.0,0.0,1.0,0.0,Atenção dada pelas pessoas diante das minhas opiniões e ideias,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1,Minas Gerais (MG),MG,Sudeste,1.0,,Estudante de Graduação,Estatística/ Matemática / Matemática Computacional/ Ciências Atuariais
0beob0vw5kuacjool0w0beobkbzsh06f,22,22-24,Masculino,Branca,Não,,,,,,,,,,,,,,,,1,São Paulo (SP),SP,Sudeste,1.0,,Graduação/Bacharelado,Computação / Engenharia de Software / Sistemas de Informação/ TI
0bj58kvonhsptf90bj5ldaxfkdm013kt,39,35-39,Masculino,Parda,Não,"Sim, acredito que a minha a experiência profissional seja afetada devido a minha identidade de gênero",0.0,0.0,1.0,0.0,Atenção dada pelas pessoas diante das minhas opiniões e ideias,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1,Goiás (GO),GO,Centro-oeste,1.0,,Pós-graduação,Marketing / Publicidade / Comunicação / Jornalismo
0bulrqnzwpth2g6rcf0bulrqr6hfwmhx,34,30-34,Feminino,Branca,Não,"Sim, acredito que a minha a experiência profissional seja afetada devido a minha Cor/Raça/Etnia",0.0,1.0,0.0,0.0,"Velocidade de progressão de carreira, Nível de cobrança no trabalho / Stress no trabalho",0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1,Pernambuco (PE),PE,Nordeste,0.0,Goiás (GO),Pós-graduação,Computação / Engenharia de Software / Sistemas de Informação/ TI
0bzkjj29s204r00bzkuifih8t0n4shmd,23,22-24,Masculino,Branca,Não,,,,,,,,,,,,,,,,0,,,,,,Prefiro não informar,
0c61ipysz17kckyll0c61ivgliw391vr,29,25-29,Masculino,Preta,Não,"Sim, acredito que a minha a experiência profissional seja afetada devido a minha Cor/Raça/Etnia",0.0,1.0,0.0,0.0,"Quantidade de oportunidades de emprego/vagas recebidas, Senioridade das vagas recebidas em relação à sua experiência, Velocidade de progressão de carreira, Atenção dada pelas pessoas diante das minhas opiniões e ideias, Relação com outros membros da empresa, em momentos de integração e outros momentos fora do trabalho",1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1,Distrito Federal (DF),DF,Centro-oeste,1.0,,Graduação/Bacharelado,Computação / Engenharia de Software / Sistemas de Informação/ TI
0czmmsqic3e0czzgfpcxcmlvopm6lzgf,25,25-29,Feminino,Branca,Não,"Sim, acredito que a minha a experiência profissional seja afetada devido a minha identidade de gênero",0.0,0.0,1.0,0.0,"Senioridade das vagas recebidas em relação à sua experiência, Oportunidades de progressão de carreira, Velocidade de progressão de carreira, Atenção dada pelas pessoas diante das minhas opiniões e ideias, Relação com outros membros da empresa, em momentos de trabalho",0.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1,São Paulo (SP),SP,Sudeste,1.0,,Graduação/Bacharelado,Outra opção
0ddxnylpynv0fgc72nuiy0ddx2np8hvc,26,25-29,Feminino,Branca,Não,"Sim, acredito que a minha a experiência profissional seja afetada devido a minha identidade de gênero",0.0,0.0,1.0,0.0,"Senioridade das vagas recebidas em relação à sua experiência, Atenção dada pelas pessoas diante das minhas opiniões e ideias",0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1,Paraná (PR),PR,Sul,0.0,São Paulo (SP),Graduação/Bacharelado,Computação / Engenharia de Software / Sistemas de Informação/ TI
0dkjjbum7c9eeyyr0dkjusywtxxirtxf,27,25-29,Masculino,Preta,Não,"Sim, acredito que a minha a experiência profissional seja afetada devido a minha Cor/Raça/Etnia",0.0,1.0,0.0,0.0,"Relação com outros membros da empresa, em momentos de trabalho",0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1,Pernambuco (PE),PE,Nordeste,1.0,,Graduação/Bacharelado,Outras Engenharias
0dmgnvaor1n4kwg0dofeq0cvtz9wszxp,27,25-29,Masculino,Branca,Não,,,,,,,,,,,,,,,,1,São Paulo (SP),SP,Sudeste,1.0,,Estudante de Graduação,Computação / Engenharia de Software / Sistemas de Informação/ TI
0dqlwrfgpu6hl40dq03c11aoxyrkddtt,24,22-24,Masculino,Branca,Não,,,,,,,,,,,,,,,,1,São Paulo (SP),SP,Sudeste,1.0,,Estudante de Graduação,Computação / Engenharia de Software / Sistemas de Informação/ TI
0dverwvn6qvm84sj0dverwv1jhbj8uhf,22,22-24,Masculino,Branca,Não,,,,,,,,,,,,,,,,1,Minas Gerais (MG),MG,Sudeste,1.0,,Estudante de Graduação,Computação / Engenharia de Software / Sistemas de Informação/ TI
0e5jp063qgcme6ly0e5j1oqs6sdw53oi,29,25-29,Masculino,Preta,Não,"Sim, acredito que a minha a experiência profissional seja afetada devido a minha Cor/Raça/Etnia",0.0,1.0,0.0,0.0,"Quantidade de oportunidades de emprego/vagas recebidas, Aprovação em processos seletivos/entrevistas",1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1,Espírito Santo (ES),ES,Sudeste,1.0,,Mestrado,Outras Engenharias
0e6w1fl8ezu3h7bnef0e6w1fl8ekby7x,32,30-34,Masculino,Branca,Não,,,,,,,,,,,,,,,,1,Rio Grande do Sul (RS),RS,Sul,1.0,,Graduação/Bacharelado,Computação / Engenharia de Software / Sistemas de Informação/ TI
0ei02mf5qxmda4g0ei02noz2n3ozbmns,38,35-39,Feminino,Branca,Não,Não acredito que minha experiência profissional seja afetada devido a esses fatores,1.0,0.0,0.0,0.0,,,,,,,,,,,1,Espírito Santo (ES),ES,Sudeste,0.0,Rio de Janeiro (RJ),Pós-graduação,Computação / Engenharia de Software / Sistemas de Informação/ TI
0es5j6zi3eta53c3alanv0es5j6zm7bp,62,55+,Masculino,Parda,Não,"Sim, acredito que a minha a experiência profissional seja afetada devido a minha Cor/Raça/Etnia",0.0,1.0,0.0,0.0,"Senioridade das vagas recebidas em relação à sua experiência, Relação com outros membros da empresa, em momentos de integração e outros momentos fora do trabalho",0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1,São Paulo (SP),SP,Sudeste,1.0,,Não tenho graduação formal,
0etlg34j0c2aa5gxkx0etlgl5085l8cl,27,25-29,Masculino,Branca,Não,,,,,,,,,,,,,,,,1,Paraná (PR),PR,Sul,1.0,,Mestrado,Computação / Engenharia de Software / Sistemas de Informação/ TI
0fqm46sjwi4favsmqvl0fqm46s98elu7,27,25-29,Masculino,Branca,Não,,,,,,,,,,,,,,,,1,São Paulo (SP),SP,Sudeste,1.0,,Graduação/Bacharelado,Economia/ Administração / Contabilidade / Finanças/ Negócios
0fy84aoyul0t71eaqln0fyfp4p5e8glp,27,25-29,Feminino,Branca,Não,"Sim, acredito que a minha a experiência profissional seja afetada devido a minha identidade de gênero",0.0,0.0,1.0,0.0,"Quantidade de oportunidades de emprego/vagas recebidas, Aprovação em processos seletivos/entrevistas, Oportunidades de progressão de carreira, Atenção dada pelas pessoas diante das minhas opiniões e ideias, Relação com outros membros da empresa, em momentos de integração e outros momentos fora do trabalho",1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,1,Rio Grande do Sul (RS),RS,Sul,0.0,Pernambuco (PE),Mestrado,Economia/ Administração / Contabilidade / Finanças/ Negócios
0g42rq6g6p2q873xia8y0g42x4n8upzt,29,25-29,Masculino,Branca,Não,,,,,,,,,,,,,,,,1,Paraná (PR),PR,Sul,1.0,,Mestrado,Computação / Engenharia de Software / Sistemas de Informação/ TI
0gegw5q7g3lykqzh1jrvp0gegw55wg08,23,22-24,Feminino,Branca,Não,Não acredito que minha experiência profissional seja afetada devido a esses fatores,1.0,0.0,0.0,0.0,,,,,,,,,,,1,Bahia (BA),BA,Nordeste,1.0,,Graduação/Bacharelado,Estatística/ Matemática / Matemática Computacional/ Ciências Atuariais
0ghkr6f66sdb6irt0c0ghk9s6mjqabxz,23,22-24,Masculino,Preta,Não,"Sim, acredito que a minha a experiência profissional seja afetada devido a minha Cor/Raça/Etnia",0.0,1.0,0.0,0.0,"Velocidade de progressão de carreira, Atenção dada pelas pessoas diante das minhas opiniões e ideias, Quantidade de oportunidades de emprego/vagas recebidas",1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1,Rio Grande do Sul (RS),RS,Sul,1.0,,Estudante de Graduação,Outras Engenharias
0gn3aonvi5bf7v0gditzg8sz142fxclo,26,25-29,Masculino,Branca,Não,,,,,,,,,,,,,,,,1,Mato Grosso (MT),MT,Centro-oeste,0.0,Goiás (GO),Graduação/Bacharelado,Outras Engenharias
0gqoessq550geoi56otja8nxkzhl2yoe,33,30-34,Masculino,Amarela,Não,Não acredito que minha experiência profissional seja afetada devido a esses fatores,1.0,0.0,0.0,0.0,,,,,,,,,,,1,São Paulo (SP),SP,Sudeste,0.0,Rio de Janeiro (RJ),Pós-graduação,Outras Engenharias
